epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1169.27,0.48644,0.45545,0.94942,0.97606,0.97459,0.97926,0.90679,0.46498,0.34786,1.06778,0.0009506,0.0009506,0.0009506
55,1310.74,0.4881,0.45681,0.95263,0.95503,0.97148,0.97786,0.89851,0.509,0.3832,1.09822,0.0009308,0.0009308,0.0009308
56,1452.44,0.47355,0.45009,0.94745,0.97575,0.97126,0.97978,0.89715,0.55625,0.37451,1.18918,0.000911,0.000911,0.000911
57,1594.07,0.47948,0.4542,0.94773,0.97337,0.97533,0.97939,0.90001,0.50887,0.3463,1.12419,0.0008912,0.0008912,0.0008912
58,1736.23,0.47738,0.44348,0.94176,0.96433,0.97078,0.97886,0.90505,0.50647,0.37112,1.10675,0.0008714,0.0008714,0.0008714
59,1904.13,0.47242,0.44061,0.94227,0.96713,0.97208,0.97893,0.90405,0.49437,0.36327,1.09495,0.0008516,0.0008516,0.0008516
60,2130.58,0.46841,0.43924,0.94065,0.96864,0.9695,0.97762,0.90664,0.51033,0.37255,1.14695,0.0008318,0.0008318,0.0008318
61,2360.39,0.46249,0.43417,0.93799,0.96965,0.97437,0.97952,0.90773,0.48079,0.36049,1.07157,0.000812,0.000812,0.000812
62,2668.1,0.46473,0.43986,0.94179,0.95337,0.97205,0.97665,0.89992,0.56849,0.41176,1.21132,0.0007922,0.0007922,0.0007922
63,2768.5,0.46655,0.43699,0.93912,0.96777,0.97586,0.97966,0.90891,0.5102,0.41824,1.1203,0.0007724,0.0007724,0.0007724
64,2865.27,0.45901,0.43543,0.93996,0.98112,0.97713,0.98507,0.90534,0.48974,0.3568,1.10234,0.0007526,0.0007526,0.0007526
65,2962.15,0.46207,0.43508,0.93691,0.97214,0.97533,0.98046,0.91496,0.45771,0.34097,1.06339,0.0007328,0.0007328,0.0007328
66,3064.41,0.45583,0.4256,0.93554,0.97455,0.97713,0.98054,0.91217,0.46534,0.34468,1.0494,0.000713,0.000713,0.000713
67,3170.09,0.45168,0.42597,0.9351,0.97475,0.98102,0.97839,0.90547,0.46161,0.32141,1.06741,0.0006932,0.0006932,0.0006932
68,3253.53,0.44614,0.42124,0.93062,0.9752,0.97713,0.98015,0.91478,0.43913,0.32939,1.05064,0.0006734,0.0006734,0.0006734
69,3353.21,0.44761,0.42162,0.9322,0.9746,0.97529,0.97927,0.90734,0.4713,0.32733,1.05958,0.0006536,0.0006536,0.0006536
70,3430.26,0.44887,0.42043,0.93321,0.97306,0.96367,0.97986,0.91762,0.43874,0.3276,1.02514,0.0006338,0.0006338,0.0006338
71,3506.5,0.44417,0.41844,0.93163,0.97707,0.97457,0.97961,0.91406,0.45179,0.32803,1.0516,0.000614,0.000614,0.000614
72,3583.13,0.44128,0.41017,0.92717,0.98079,0.97315,0.98113,0.91613,0.46787,0.31655,1.0605,0.0005942,0.0005942,0.0005942
73,3659.7,0.43608,0.40985,0.92569,0.98072,0.96943,0.9816,0.91334,0.47542,0.32814,1.08981,0.0005744,0.0005744,0.0005744
74,3736.32,0.43942,0.41312,0.92932,0.97457,0.97411,0.97893,0.91357,0.46214,0.30836,1.08878,0.0005546,0.0005546,0.0005546
75,3811.78,0.44241,0.40968,0.93197,0.98021,0.97713,0.98091,0.91439,0.46288,0.30885,1.05777,0.0005348,0.0005348,0.0005348
76,3911.37,0.43047,0.40041,0.92624,0.96865,0.9814,0.98476,0.9197,0.42697,0.30822,1.02175,0.000515,0.000515,0.000515
77,4021.84,0.42753,0.40311,0.9266,0.97853,0.9784,0.98731,0.91852,0.4349,0.31352,1.03945,0.0004952,0.0004952,0.0004952
78,4135.91,0.42845,0.40042,0.92525,0.97583,0.97473,0.98001,0.91561,0.45048,0.32342,1.06261,0.0004754,0.0004754,0.0004754
